ep,vl,vr,e,delta_e
-0.04,1.54,1.52,0.12,0.16
0.12,1.57,1.47,0.09,-0.03
0.09,1.58,1.48,-0.07,-0.16
-0.07,1.54,1.5,0.02,0.09
0.02,1.51,1.46,0.08,0.06
0.08,1.49,1.41,0.16,0.08
0.16,1.49,1.43,0.14,-0.02
0.14,1.47,1.44,0.1,-0.04
0.1,1.46,1.47,0.06,-0.04
0.06,1.47,1.48,-0.03,-0.09
-0.03,1.47,1.5,-0.02,0.01
-0.02,1.52,1.5,0.07,0.09
0.07,1.56,1.48,0.17,0.1
0.17,1.54,1.45,0.19,0.02
0.19,1.54,1.46,0.15,-0.04
0.15,1.51,1.49,0.13,-0.02
0.13,1.49,1.51,-0.01,-0.14
1.12,0,0.14,0.7,-0.42
0.7,0,0.55,-0.24,-0.94
-0.24,0.08,0.88,-0.65,-0.41
-0.65,0.31,1.05,-0.46,0.19
-0.46,0.64,1.06,0,0.46
0,0.88,1,0.19,0.19
0.19,1.02,1.02,0.09,-0.1
0.09,1.12,1.12,-0.01,-0.1
-0.01,1.15,1.2,-0.06,-0.05
-0.06,1.18,1.22,-0.02,0.04
-0.02,1.25,1.23,0.05,0.07
0.05,1.3,1.25,0.07,0.02
0.07,1.3,1.26,-0.07,-0.14
-0.07,1.32,1.29,-0.14,-0.07
-0.14,1.33,1.33,-0.12,0.02
-0.12,1.37,1.34,0.04,0.16
0.04,1.39,1.35,-0.01,-0.05
-0.01,1.4,1.34,-0.06,-0.05
-0.06,1.38,1.35,-0.05,0.01
-0.05,1.38,1.34,0.02,0.07
0.02,1.4,1.36,-0.03,-0.05
-0.03,1.4,1.36,-0.07,-0.04
-0.07,1.4,1.37,-0.01,0.06
-0.01,1.44,1.38,0.08,0.09
0.08,1.43,1.36,0.23,0.15
0.23,1.43,1.33,0.18,-0.05
0.18,1.4,1.34,0.09,-0.09
0.09,1.36,1.35,-0.03,-0.12
-0.03,1.35,1.38,-0.04,-0.01
-0.04,1.38,1.39,0,0.04
0,1.42,1.39,0.09,0.09
0.09,1.44,1.39,0.12,0.03
0.12,1.43,1.37,-0.04,-0.16
-0.04,1.42,1.4,-0.02,0.02
-0.02,1.42,1.4,0.17,0.19
0.17,1.42,1.36,0.31,0.14
0.31,1.43,1.37,0.22,-0.09
0.22,1.39,1.37,0.01,-0.21
0.01,1.35,1.44,-0.06,-0.07
-0.06,1.38,1.49,-0.05,0.01
-0.05,1.42,1.49,0.04,0.09
0.04,1.46,1.47,0.14,0.1
0.14,1.45,1.44,0.12,-0.02
0.12,1.44,1.43,-0.01,-0.13
-0.01,1.41,1.45,-0.05,-0.04
-0.05,1.41,1.44,0.05,0.1
0.05,1.45,1.41,0.11,0.06
0.11,1.46,1.43,0.05,-0.06
0.05,1.45,1.44,0.06,0.01
0.06,1.44,1.45,0.16,0.1
0.16,1.45,1.42,0.15,-0.01
0.15,1.44,1.42,0.15,0
0.15,1.43,1.43,-0.02,-0.17
-0.02,1.41,1.43,-0.05,-0.03
-0.05,1.4,1.42,0.07,0.12
0.07,1.46,1.42,0.11,0.04
0.11,1.43,1.39,0.11,0
0.11,1.38,1.34,0.04,-0.07
0.04,1.35,1.35,-0.02,-0.06
-0.02,1.36,1.4,0.06,0.08
0.06,1.39,1.38,0.23,0.17
0.23,1.41,1.34,0.28,0.05
0.28,1.37,1.31,0.22,-0.06
0.22,1.33,1.35,0.06,-0.16
0.06,1.31,1.36,-0.06,-0.12
-0.06,1.29,1.39,-0.11,-0.05
-0.11,1.33,1.41,0,0.11
0,1.38,1.41,0.11,0.11
0.11,1.45,1.41,0.05,-0.06
0.05,1.44,1.41,0.05,0
0.05,1.45,1.42,0.12,0.07
0.12,1.46,1.44,0.11,-0.01
0.11,1.43,1.45,-0.08,-0.19
-0.08,1.38,1.44,-0.17,-0.09
-0.17,1.39,1.43,-0.05,0.12
-0.05,1.43,1.41,0.13,0.18
0.13,1.42,1.33,0.19,0.06
0.19,1.44,1.32,0.17,-0.02
0.17,1.41,1.36,-0.02,-0.19
-0.02,1.39,1.38,-0.15,-0.13
-0.15,1.39,1.41,-0.08,0.07
-0.08,1.41,1.37,0.06,0.14
0.06,1.41,1.33,0.08,0.02
1.27,0,0.16,1.18,-0.09
1.18,0,0.55,0.67,-0.51
0.67,0,0.94,-0.47,-1.14
-0.47,0.08,1.21,-0.86,-0.39
-0.86,0.32,1.27,-0.7,0.16
-0.7,0.7,1.19,-0.22,0.48
-0.22,1,1.12,0.17,0.39
0.17,1.2,1.09,0.2,0.03
0.2,1.28,1.15,-0.06,-0.26
-0.06,1.3,1.26,-0.23,-0.17
-0.23,1.3,1.29,-0.22,0.01
-0.22,1.36,1.29,-0.08,0.14
-0.08,1.43,1.27,-0.02,0.06
-0.02,1.46,1.26,-0.02,0
-0.02,1.47,1.29,-0.09,-0.07
-0.09,1.46,1.31,-0.09,0
-0.09,1.45,1.31,0.02,0.11
0.02,1.44,1.29,0.02,0
0.02,1.41,1.29,-0.06,-0.08
-0.06,1.41,1.31,-0.08,-0.02
-0.08,1.41,1.31,-0.06,0.02
-0.06,1.4,1.31,-0.05,0.01
-0.05,1.4,1.29,-0.02,0.03
-0.02,1.4,1.27,0.02,0.04
0.02,1.38,1.25,0.12,0.1
0.12,1.39,1.26,0.04,-0.08
0.04,1.39,1.33,-0.04,-0.08
-0.04,1.37,1.36,-0.03,0.01
-0.03,1.38,1.35,0.08,0.11
0.08,1.4,1.32,0.22,0.14
0.22,1.4,1.3,0.16,-0.06
0.16,1.4,1.34,0.03,-0.13
0.03,1.4,1.39,-0.05,-0.08
-0.05,1.4,1.39,-0.03,0.02
-0.03,1.4,1.39,0.1,0.13
0.1,1.38,1.33,0.19,0.09
0.19,1.4,1.35,0.19,0
0.19,1.36,1.34,0.12,-0.07
0.12,1.35,1.37,0.04,-0.08
0.04,1.36,1.4,-0.07,-0.11
-0.07,1.37,1.44,-0.03,0.04
-0.03,1.37,1.41,0.06,0.09
0.06,1.4,1.39,0.18,0.12
0.18,1.42,1.35,0.22,0.04
0.22,1.42,1.34,0.13,-0.09
0.13,1.39,1.37,-0.02,-0.15
-0.02,1.37,1.4,-0.08,-0.06
-0.08,1.4,1.42,0.02,0.1
0.02,1.44,1.39,0.12,0.1
0.12,1.45,1.42,0.12,0
0.12,1.42,1.39,0.02,-0.1
0.02,1.4,1.41,-0.08,-0.1
-0.08,1.4,1.45,0,0.08
0,1.42,1.44,0.09,0.09
0.09,1.41,1.37,0.22,0.13
0.22,1.45,1.38,0.19,-0.03
0.19,1.42,1.38,0.12,-0.07
0.12,1.4,1.43,0.05,-0.07
0.05,1.38,1.42,-0.04,-0.09
-0.04,1.38,1.42,0.03,0.07
0.03,1.41,1.43,0.12,0.09
0.12,1.42,1.41,0.13,0.01
0.13,1.42,1.43,0.09,-0.04
0.09,1.38,1.4,0.08,-0.01
0.08,1.38,1.4,0.11,0.03
0.11,1.38,1.4,-0.05,-0.16
-0.05,1.37,1.44,-0.13,-0.08
-0.13,1.35,1.41,0,0.13
0,1.38,1.37,0.14,0.14
0.14,1.43,1.34,0.11,-0.03
0.11,1.42,1.35,0.14,0.03
0.14,1.42,1.36,0.04,-0.1
0.04,1.39,1.39,0.04,0
0.04,1.37,1.39,-0.02,-0.06
-0.02,1.4,1.41,0,0.02
0,1.42,1.41,0.03,0.03
0.03,1.42,1.37,0,-0.03
0,1.43,1.37,-0.02,-0.02
-0.02,1.41,1.38,0.06,0.08
0.06,1.42,1.38,0.14,0.08
0.14,1.42,1.35,0.08,-0.06
0.08,1.4,1.36,0.08,0
0.08,1.38,1.37,0.12,0.04
0.55,0.02,0.06,0.07,-0.48
0.07,0.12,0.33,-0.3,-0.37
-0.3,0.31,0.58,-0.37,-0.07
-0.37,0.57,0.75,-0.23,0.14
-0.23,0.8,0.82,0.01,0.24
0.01,1.02,0.89,0.13,0.12
0.13,1.13,0.97,-0.01,-0.14
-0.01,1.17,1.08,-0.11,-0.1
-0.11,1.21,1.16,-0.08,0.03
-0.08,1.29,1.21,-0.02,0.06
-0.02,1.31,1.21,0.05,0.07
0.05,1.37,1.21,0.1,0.05
0.1,1.4,1.23,0.07,-0.03
0.07,1.38,1.26,0,-0.07
0,1.34,1.27,-0.04,-0.04
-0.04,1.35,1.29,-0.11,-0.07
-0.11,1.34,1.32,-0.11,0
-0.11,1.33,1.31,0.1,0.21
0.1,1.39,1.29,0.15,0.05
0.15,1.39,1.27,0.09,-0.06
0.09,1.37,1.32,-0.03,-0.12
-0.03,1.4,1.37,0.09,0.12
0.09,1.4,1.36,0.19,0.1
0.19,1.42,1.35,0.18,-0.01
0.18,1.41,1.36,0.14,-0.04
0.14,1.41,1.39,0.06,-0.08
0.06,1.39,1.41,-0.07,-0.13
-0.07,1.35,1.41,-0.08,-0.01
-0.08,1.38,1.41,-0.02,0.06
-0.02,1.38,1.38,0.11,0.13
0.11,1.43,1.39,0.13,0.02
0.13,1.44,1.37,0.01,-0.12
0.01,1.39,1.38,0.01,0
0.01,1.38,1.36,0.06,0.05
0.06,1.36,1.37,0.08,0.02
0.08,1.37,1.37,0,-0.08
0,1.35,1.38,0.12,0.12
0.12,1.38,1.36,0.22,0.1
0.22,1.41,1.37,0.14,-0.08
0.14,1.39,1.38,-0.01,-0.15
-0.01,1.39,1.4,0,0.01
0,1.39,1.4,0.03,0.03
0.03,1.39,1.4,-0.03,-0.06
-0.03,1.41,1.4,0.03,0.06
0.03,1.45,1.4,0.06,0.03
0.06,1.44,1.42,0.07,0.01
0.07,1.45,1.42,0.18,0.11
0.18,1.46,1.43,0.22,0.04
0.22,1.45,1.43,0.13,-0.09
0.13,1.42,1.44,0.08,-0.05
0.08,1.4,1.45,0.01,-0.07
0.01,1.38,1.42,-0.07,-0.08
-0.07,1.4,1.44,0,0.07
0,1.42,1.43,0.06,0.06
0.06,1.4,1.38,0.04,-0.02
0.04,1.38,1.39,0.05,0.01
0.05,1.4,1.39,0.11,0.06
0.11,1.4,1.37,0.09,-0.02
0.09,1.38,1.38,0.06,-0.03
0.06,1.35,1.34,0.11,0.05
0.11,1.36,1.35,0.07,-0.04
0.07,1.34,1.36,0.06,-0.01
0.06,1.32,1.33,0.18,0.12
0.18,1.35,1.32,0.13,-0.05
0.13,1.36,1.34,0.06,-0.07
0.06,1.35,1.37,0.01,-0.05
0.01,1.34,1.36,-0.03,-0.04
-0.03,1.35,1.39,-0.15,-0.12
-0.15,1.36,1.39,-0.03,0.12
-0.03,1.41,1.37,0.24,0.27
0.24,1.43,1.34,0.27,0.03
0.27,1.42,1.35,0.05,-0.22
0.05,1.36,1.38,-0.05,-0.1
-0.05,1.35,1.4,0,0.05
0,1.38,1.38,0.07,0.07
0.07,1.38,1.35,0.15,0.08
0.15,1.43,1.34,0.21,0.06
0.21,1.42,1.35,-0.02,-0.23
-0.02,1.38,1.4,-0.18,-0.16
-0.18,1.38,1.42,-0.12,0.06
-0.12,1.38,1.4,0.04,0.16
0.04,1.41,1.36,0.13,0.09
0.13,1.39,1.33,0.03,-0.1
0.66,0,0.08,-0.14,-0.8
-0.14,0.02,0.42,-0.66,-0.52
-0.66,0.2,0.68,-0.47,0.19
-0.47,0.54,0.7,0.13,0.6
0.13,0.85,0.7,0.44,0.31
0.44,1.04,0.78,0.24,-0.2
0.24,1.05,0.97,-0.33,-0.57
-0.33,1.06,1.15,-0.45,-0.12
-0.45,1.15,1.2,-0.02,0.43
-0.02,1.28,1.12,0.35,0.37
0.35,1.36,1.1,0.18,-0.17
0.18,1.31,1.2,-0.16,-0.34
-0.16,1.27,1.3,-0.28,-0.12
-0.28,1.29,1.32,-0.06,0.22
-0.06,1.36,1.27,0.12,0.18
0.12,1.4,1.26,0.1,-0.02
0.1,1.4,1.29,-0.04,-0.14
-0.04,1.4,1.37,-0.05,-0.01
-0.05,1.4,1.4,0.1,0.15
0.1,1.44,1.38,0.12,0.02
0.12,1.43,1.36,0.11,-0.01
0.11,1.41,1.39,0.05,-0.06
0.05,1.39,1.39,-0.05,-0.1
-0.05,1.39,1.41,-0.1,-0.05
-0.1,1.41,1.39,0.13,0.23
0.13,1.45,1.33,0.23,0.1
0.23,1.42,1.31,0.04,-0.19
0.04,1.38,1.34,-0.09,-0.13
-0.09,1.38,1.38,-0.07,0.02
-0.07,1.4,1.38,0.14,0.21
0.14,1.42,1.34,0.22,0.08
0.22,1.42,1.36,0.07,-0.15
0.07,1.39,1.4,-0.17,-0.24
-0.17,1.36,1.44,-0.18,-0.01
-0.18,1.42,1.45,0.16,0.34
0.16,1.5,1.4,0.24,0.08
0.24,1.5,1.38,0.15,-0.09
0.15,1.44,1.43,0.02,-0.13
0.02,1.41,1.46,-0.12,-0.14
-0.12,1.39,1.47,-0.11,0.01
-0.11,1.39,1.46,0.09,0.2
0.09,1.47,1.44,0.17,0.08
0.17,1.48,1.46,0.02,-0.15
0.02,1.44,1.46,-0.04,-0.06
-0.04,1.43,1.47,0.02,0.06
0.02,1.45,1.46,0.07,0.05
0.07,1.48,1.45,0.04,-0.03
0.04,1.46,1.44,-0.02,-0.06
-0.02,1.45,1.45,0.03,0.05
0.03,1.44,1.44,0.29,0.26
0.29,1.47,1.39,0.14,-0.15
0.14,1.44,1.43,-0.18,-0.32
-0.18,1.37,1.49,-0.12,0.06
-0.12,1.4,1.45,0.02,0.14
0.02,1.46,1.4,0.1,0.08
0.1,1.47,1.38,0.13,0.03
0.13,1.45,1.38,0.07,-0.06
0.07,1.44,1.43,-0.03,-0.1
-0.03,1.41,1.42,0.07,0.1
0.07,1.43,1.42,0.16,0.09
0.16,1.42,1.39,0.1,-0.06
0.1,1.38,1.42,0.02,-0.08
0.02,1.36,1.41,0.02,0
0.02,1.37,1.43,-0.06,-0.08
-0.06,1.38,1.42,-0.08,-0.02
-0.08,1.38,1.4,0.07,0.15
0.07,1.45,1.4,0.17,0.1
0.17,1.48,1.4,0.13,-0.04
0.13,1.44,1.44,0.03,-0.1
0.03,1.43,1.47,-0.01,-0.04
-0.01,1.43,1.46,0.04,0.05
0.04,1.44,1.43,0.13,0.09
0.13,1.43,1.4,0.11,-0.02
0.11,1.43,1.4,-0.14,-0.25
-0.14,1.4,1.44,-0.02,0.12
-0.02,1.42,1.37,0.23,0.25
0.23,1.46,1.3,0.15,-0.08
0.15,1.41,1.32,-0.14,-0.29
-0.14,1.36,1.39,-0.17,-0.03
-0.17,1.37,1.4,0.08,0.25
0.08,1.42,1.36,0.25,0.17
0.25,1.45,1.35,0.14,-0.11
0.14,1.42,1.36,-0.05,-0.19
1.18,0,0.1,0.8,-0.38
0.8,0,0.54,-0.7,-1.5
-0.7,0,1.03,-0.97,-0.27
-0.97,0.26,1.09,-0.44,0.53
-0.44,0.71,0.91,0.49,0.93
0.49,1.05,0.81,0.57,0.08
0.57,1.12,0.91,-0.12,-0.69
-0.12,1.05,1.14,-0.75,-0.63
-0.75,1.08,1.28,-0.47,0.28
-0.47,1.29,1.18,0.45,0.92
0.45,1.51,1.06,0.53,0.08
0.53,1.49,1.11,-0.03,-0.56
-0.03,1.35,1.29,-0.53,-0.5
-0.53,1.28,1.37,-0.4,0.13
-0.4,1.38,1.32,0.24,0.64
0.24,1.49,1.21,0.4,0.16
0.4,1.49,1.23,0.03,-0.37
0.03,1.39,1.32,-0.29,-0.32
-0.29,1.33,1.38,-0.2,0.09
-0.2,1.39,1.36,0.13,0.33
0.13,1.47,1.29,0.31,0.18
0.31,1.5,1.31,0.11,-0.2
0.11,1.46,1.39,-0.13,-0.24
-0.13,1.39,1.43,-0.2,-0.07
-0.2,1.39,1.45,0.02,0.22
0.02,1.45,1.38,0.14,0.12
0.14,1.48,1.36,0.04,-0.1
0.04,1.44,1.37,-0.09,-0.13
-0.09,1.44,1.42,-0.01,0.08
-0.01,1.45,1.39,0.18,0.19
0.18,1.46,1.33,0.15,-0.03
0.15,1.43,1.33,0.06,-0.09
0.06,1.36,1.32,0.02,-0.04
0.02,1.35,1.34,0.01,-0.01
0.01,1.32,1.31,0.01,0
0.01,1.34,1.33,-0.09,-0.1
-0.09,1.37,1.38,-0.04,0.05
-0.04,1.39,1.37,0.11,0.15
0.11,1.42,1.33,0.16,0.05
0.16,1.41,1.37,0.05,-0.11
0.05,1.37,1.37,0.02,-0.03
0.02,1.38,1.4,0.04,0.02
0.04,1.38,1.38,0.07,0.03
0.07,1.4,1.38,0.08,0.01
0.08,1.4,1.39,0.02,-0.06
0.02,1.4,1.41,-0.05,-0.07
-0.05,1.42,1.45,-0.01,0.04
-0.01,1.44,1.46,0.08,0.09
0.08,1.47,1.45,0.02,-0.06
0.02,1.46,1.46,0.01,-0.01
0.01,1.43,1.45,0.01,0
0.01,1.4,1.42,0.01,0
0.01,1.42,1.41,0.02,0.01
0.02,1.44,1.43,0.02,0
0.02,1.41,1.42,-0.01,-0.03
-0.01,1.43,1.44,0.13,0.14
0.13,1.44,1.39,0.23,0.1
0.23,1.45,1.35,0.14,-0.09
0.14,1.42,1.38,-0.05,-0.19
-0.05,1.38,1.41,-0.09,-0.04
-0.09,1.36,1.4,0.09,0.18
0.09,1.41,1.38,0.13,0.04
0.13,1.39,1.37,0.02,-0.11
0.02,1.39,1.41,-0.03,-0.05
-0.03,1.37,1.41,-0.06,-0.03
-0.06,1.4,1.43,0.01,0.07
0.01,1.42,1.42,0.02,0.01
0.02,1.45,1.42,0.1,0.08
0.1,1.46,1.41,0.13,0.03
0.13,1.45,1.41,0.15,0.02
0.15,1.44,1.43,0,-0.15
0,1.39,1.44,-0.12,-0.12
-0.12,1.41,1.45,-0.05,0.07
-0.05,1.45,1.44,0.02,0.07
0.02,1.46,1.42,0.06,0.04
0.06,1.45,1.41,0.1,0.04
0.1,1.44,1.39,-0.05,-0.15
-0.05,1.43,1.41,-0.12,-0.07
-0.12,1.4,1.41,-0.06,0.06
-0.06,1.4,1.39,0.06,0.12
0.06,1.42,1.35,0.05,-0.01
0.05,1.42,1.38,0.13,0.08
0.13,1.41,1.34,0.21,0.08
0.82,0,0.16,0.28,-0.54
0.28,0.02,0.43,-0.79,-1.07
-0.79,0.08,0.8,-0.87,-0.08
-0.87,0.38,0.84,-0.22,0.65
-0.22,0.8,0.72,0.61,0.83
0.61,1.06,0.69,0.59,-0.02
0.59,1.07,0.87,-0.26,-0.85
-0.26,0.98,1.12,-0.76,-0.5
-0.76,1.02,1.22,-0.37,0.39
-0.37,1.2,1.09,0.52,0.89
0.52,1.38,0.99,0.61,0.09
0.61,1.36,1.05,0.07,-0.54
0.07,1.21,1.24,-0.49,-0.56
-0.49,1.17,1.36,-0.41,0.08
-0.41,1.27,1.3,0.09,0.5
0.09,1.42,1.2,0.41,0.32
0.41,1.48,1.2,0.09,-0.32
0.09,1.36,1.3,-0.32,-0.41
-0.32,1.31,1.4,-0.24,0.08
-0.24,1.35,1.36,0.13,0.37
0.13,1.42,1.27,0.32,0.19
0.32,1.41,1.26,0.2,-0.12
0.2,1.35,1.28,-0.15,-0.35
-0.15,1.3,1.37,-0.26,-0.11
-0.26,1.32,1.37,-0.03,0.23
-0.03,1.38,1.32,0.33,0.36
0.33,1.46,1.28,0.34,0.01
0.34,1.43,1.28,-0.05,-0.39
-0.05,1.34,1.36,-0.25,-0.2
-0.25,1.31,1.39,-0.11,0.14
-0.11,1.35,1.33,0.18,0.29
0.18,1.38,1.29,0.25,0.07
0.25,1.39,1.27,0.08,-0.17
0.08,1.35,1.36,-0.1,-0.18
-0.1,1.28,1.36,-0.23,-0.13
-0.23,1.32,1.39,0.09,0.32
0.09,1.44,1.37,0.32,0.23
0.32,1.49,1.36,0.27,-0.05
0.27,1.43,1.41,-0.04,-0.31
-0.04,1.39,1.47,-0.18,-0.14
-0.18,1.37,1.47,-0.07,0.11
-0.07,1.4,1.42,0.17,0.24
0.17,1.46,1.39,0.15,-0.02
0.15,1.46,1.42,-0.08,-0.23
-0.08,1.41,1.47,-0.04,0.04
-0.04,1.41,1.44,0.13,0.17
0.13,1.45,1.41,0.1,-0.03
0.1,1.44,1.41,0.03,-0.07
0.03,1.39,1.41,-0.02,-0.05
-0.02,1.39,1.43,-0.04,-0.02
-0.04,1.39,1.4,0.17,0.21
0.17,1.44,1.4,0.33,0.16
0.33,1.45,1.36,0.02,-0.31
0.02,1.4,1.45,-0.25,-0.27
-0.25,1.34,1.46,-0.14,0.11
-0.14,1.39,1.41,0.18,0.32
0.18,1.47,1.35,0.3,0.12
0.3,1.46,1.34,0.14,-0.16
0.14,1.37,1.35,-0.12,-0.26
-0.12,1.31,1.38,-0.14,-0.02
-0.14,1.31,1.38,0.07,0.21
0.07,1.37,1.35,0.19,0.12
0.19,1.37,1.34,0.12,-0.07
0.12,1.36,1.35,0.06,-0.06
0.06,1.35,1.38,0.08,0.02
0.08,1.38,1.38,-0.07,-0.15
-0.07,1.38,1.41,-0.15,-0.08
-0.15,1.41,1.43,0.09,0.24
0.09,1.46,1.42,0.17,0.08
0.17,1.41,1.36,0.1,-0.07
0.1,1.37,1.37,-0.08,-0.18
-0.08,1.38,1.41,-0.07,0.01
-0.07,1.38,1.41,0.1,0.17
0.1,1.4,1.37,0.12,0.02
0.12,1.38,1.33,0.03,-0.09
0.03,1.37,1.37,-0.13,-0.16
-0.13,1.37,1.39,-0.08,0.05
-0.08,1.4,1.38,0.18,0.26
0.18,1.42,1.3,0.21,0.03
0.21,1.4,1.28,-0.03,-0.24
-0.03,1.36,1.34,-0.19,-0.16
-0.19,1.32,1.38,-0.1,0.09
-0.1,1.34,1.32,0.14,0.24
-0.02,0.1,0.04,0.04,0.06
0.04,0.3,0.21,-0.07,-0.11
-0.07,0.52,0.43,-0.08,-0.01
-0.08,0.76,0.64,0.06,0.14
0.06,0.96,0.79,0.16,0.1
0.16,1.07,0.9,0.02,-0.14
0.02,1.14,1.02,-0.08,-0.1
-0.08,1.17,1.11,-0.05,0.03
-0.05,1.24,1.17,-0.05,0
-0.05,1.27,1.22,-0.06,-0.01
-0.06,1.32,1.25,-0.03,0.03
-0.03,1.33,1.26,-0.03,0
-0.03,1.35,1.31,-0.03,0
-0.03,1.38,1.33,-0.03,0
-0.03,1.38,1.32,-0.02,0.01
-0.02,1.38,1.32,0.04,0.06
0.04,1.39,1.31,0.06,0.02
0.06,1.41,1.33,0.06,0
0.06,1.43,1.35,0.16,0.1
0.16,1.42,1.38,0.15,-0.01
0.15,1.42,1.38,0.02,-0.13
0.02,1.33,1.36,-0.19,-0.21
-0.19,1.31,1.39,-0.11,0.08
-0.11,1.37,1.37,0.05,0.16
0.05,1.39,1.32,0.11,0.06
0.11,1.43,1.33,0.1,-0.01
0.1,1.43,1.35,0.05,-0.05
0.05,1.42,1.38,-0.03,-0.08
-0.03,1.4,1.38,-0.14,-0.11
-0.14,1.4,1.39,0.12,0.26
0.12,1.4,1.31,0.35,0.23
0.35,1.42,1.29,0.28,-0.07
0.28,1.33,1.31,-0.06,-0.34
-0.06,1.27,1.37,-0.36,-0.3
-0.36,1.29,1.41,-0.14,0.22
-0.14,1.4,1.37,0.27,0.41
0.27,1.46,1.32,0.44,0.17
0.44,1.45,1.35,0.06,-0.38
0.06,1.36,1.42,-0.27,-0.33
-0.27,1.3,1.48,-0.09,0.18
-0.09,1.38,1.4,0.26,0.35
0.26,1.45,1.34,0.27,0.01
0.27,1.44,1.37,-0.04,-0.31
-0.04,1.39,1.44,-0.18,-0.14
-0.18,1.37,1.47,0.01,0.19
0.01,1.4,1.38,0.21,0.2
0.21,1.42,1.34,0.11,-0.1
0.11,1.37,1.33,-0.02,-0.13
-0.02,1.32,1.35,-0.08,-0.06
-0.08,1.34,1.36,0.08,0.16
0.08,1.39,1.33,0.21,0.13
0.21,1.41,1.36,0.07,-0.14
0.07,1.37,1.41,-0.08,-0.15
-0.08,1.37,1.43,-0.08,0
-0.08,1.4,1.44,0.12,0.2
0.12,1.46,1.39,0.29,0.17
0.29,1.47,1.37,0.18,-0.11
0.18,1.41,1.4,-0.02,-0.2
-0.02,1.35,1.4,0.03,0.05
0.03,1.36,1.4,0.08,0.05
0.08,1.39,1.4,-0.04,-0.12
-0.04,1.37,1.42,-0.09,-0.05
-0.09,1.36,1.44,0.05,0.14
0.05,1.41,1.43,0.1,0.05
0.1,1.4,1.4,-0.03,-0.13
-0.03,1.4,1.4,-0.02,0.01
-0.02,1.42,1.4,0.09,0.11
0.09,1.44,1.4,0.17,0.08
0.17,1.45,1.42,-0.01,-0.18
-0.01,1.42,1.44,-0.13,-0.12
-0.13,1.44,1.45,0.08,0.21
0.08,1.45,1.4,0.18,0.1
0.18,1.4,1.3,0.04,-0.14
0.04,1.36,1.36,-0.05,-0.09
-0.05,1.33,1.35,-0.09,-0.04
-0.09,1.36,1.36,-0.1,-0.01
-0.1,1.39,1.35,0,0.1
0,1.39,1.32,0.14,0.14
0.14,1.41,1.29,0.07,-0.07
0.07,1.39,1.32,-0.16,-0.23
-0.16,1.35,1.37,-0.11,0.05
-0.11,1.34,1.36,0.23,0.34
0.23,1.43,1.29,0.33,0.1
0.4,0,0.08,0,-0.4
